Statisticna_regija,ID_Statisticna_regija,SNOMED_CT,Naziv,Datum_cepljenja,St_cepljenj
,,46233009,Gripa,2023-10-04,1
,,46233009,Gripa,2023-10-10,2
,,46233009,Gripa,2023-10-17,5
,,46233009,Gripa,2023-10-23,2
,,46233009,Gripa,2023-10-26,12
,,46233009,Gripa,2023-11-02,5
,,46233009,Gripa,2023-11-08,6
,,46233009,Gripa,2023-11-21,5
,,46233009,Gripa,2023-11-24,5
,,46233009,Gripa,2023-12-01,2
,,46233009,Gripa,2023-12-04,1
,,46233009,Gripa,2023-12-07,3
,,46233009,Gripa,2023-12-20,1
,,46233009,Gripa,2024-01-05,1
,,46233009,Gripa,2024-01-24,4
,,46233009,Gripa,2024-02-06,1
,,46233009,Gripa,2024-03-06,1
,,46233009,Gripa,2024-10-04,2
,,46233009,Gripa,2024-10-07,7
,,46233009,Gripa,2024-10-14,5
,,46233009,Gripa,2024-10-17,8
,,46233009,Gripa,2024-10-23,9
,,46233009,Gripa,2024-10-30,8
,,46233009,Gripa,2024-11-02,1
,,46233009,Gripa,2024-11-05,6
,,46233009,Gripa,2024-11-12,5
,,46233009,Gripa,2024-11-15,3
,,46233009,Gripa,2024-11-18,4
,,46233009,Gripa,2024-11-21,5
,,46233009,Gripa,2024-11-28,6
,,46233009,Gripa,2024-12-04,2
,,46233009,Gripa,2024-12-30,1
,,46233009,Gripa,2025-01-15,1
,,46233009,Gripa,2025-01-21,1
,,46233009,Gripa,2025-02-10,1
,,46233009,Gripa,2025-10-09,1
,,46233009,Gripa,2025-10-28,9
,,46233009,Gripa,2025-11-03,6
,,46233009,Gripa,2025-11-10,5
,,46233009,Gripa,2025-11-13,2
,,46233009,Gripa,2025-11-26,1
,,46233009,Gripa,2023-10-09,3
,,46233009,Gripa,2023-10-12,2
,,46233009,Gripa,2023-10-18,7
,,46233009,Gripa,2023-10-25,7
,,46233009,Gripa,2023-11-03,2
,,46233009,Gripa,2023-11-10,6
,,46233009,Gripa,2023-11-13,18
,,46233009,Gripa,2023-11-16,6
,,46233009,Gripa,2023-11-23,6
,,46233009,Gripa,2023-11-29,2
,,46233009,Gripa,2023-12-12,5
,,46233009,Gripa,2023-12-15,3
,,46233009,Gripa,2023-12-18,1
,,46233009,Gripa,2023-12-28,1
,,46233009,Gripa,2024-01-03,2
,,46233009,Gripa,2024-03-30,1
,,46233009,Gripa,2024-10-09,3
,,46233009,Gripa,2024-10-15,4
,,46233009,Gripa,2024-10-22,5
,,46233009,Gripa,2024-10-25,7
,,46233009,Gripa,2024-10-28,4
,,46233009,Gripa,2024-11-04,10
,,46233009,Gripa,2024-11-07,9
,,46233009,Gripa,2024-11-13,7
,,46233009,Gripa,2024-11-20,1
,,46233009,Gripa,2024-11-23,1
,,46233009,Gripa,2024-11-26,6
,,46233009,Gripa,2024-11-29,1
,,46233009,Gripa,2024-12-06,3
,,46233009,Gripa,2024-12-09,5
,,46233009,Gripa,2024-12-12,1
,,46233009,Gripa,2024-12-19,4
,,46233009,Gripa,2025-01-07,1
,,46233009,Gripa,2025-01-10,3
,,46233009,Gripa,2025-01-13,1
,,46233009,Gripa,2025-01-23,1
,,46233009,Gripa,2025-02-05,1
,,46233009,Gripa,2025-02-18,2
,,46233009,Gripa,2025-04-23,1
,,46233009,Gripa,2025-10-20,20
,,46233009,Gripa,2025-10-23,15
,,46233009,Gripa,2025-11-02,1
,,46233009,Gripa,2025-11-05,9
,,46233009,Gripa,2025-11-08,1
,,46233009,Gripa,2025-11-11,13
,,46233009,Gripa,2025-11-18,10
,,46233009,Gripa,2025-11-21,5
,,46233009,Gripa,2025-11-24,8
,,46233009,Gripa,2023-10-03,1
,,46233009,Gripa,2023-10-06,3
,,46233009,Gripa,2023-10-13,9
,,46233009,Gripa,2023-10-16,7
,,46233009,Gripa,2023-10-19,7
,,46233009,Gripa,2023-11-04,2
,,46233009,Gripa,2023-11-07,4
,,46233009,Gripa,2023-11-14,17
,,46233009,Gripa,2023-11-17,6
,,46233009,Gripa,2023-11-20,3
,,46233009,Gripa,2023-11-27,4
,,46233009,Gripa,2023-11-30,3
,,46233009,Gripa,2023-12-06,2
,,46233009,Gripa,2023-12-22,1
,,46233009,Gripa,2024-01-04,2
,,46233009,Gripa,2024-01-11,1
,,46233009,Gripa,2024-10-03,2
,,46233009,Gripa,2024-10-10,5
