Starostni_razred,SNOMED_CT,Naziv,Datum_cepljenja,st_cepljenj
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-06,10
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-09,27
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-12,26
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-19,35
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-25,48
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-04,3
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-07,48
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-10,54
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-13,64
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-20,53
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-23,64
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-06,56
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-09,1
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-12,35
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-19,25
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-22,26
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-28,10
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-04,16
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-07,2
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-10,25
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-17,10
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-23,5
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-26,3
a: 6 mesecev - 17 let,46233009,Gripa,2024-02-27,2
a: 6 mesecev - 17 let,46233009,Gripa,2024-03-05,2
a: 6 mesecev - 17 let,46233009,Gripa,2024-03-08,1
a: 6 mesecev - 17 let,46233009,Gripa,2024-03-11,1
a: 6 mesecev - 17 let,46233009,Gripa,2024-09-30,3
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-03,7
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-09,22
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-16,31
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-19,2
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-22,57
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-25,55
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-04,43
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-07,56
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-14,44
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-20,75
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-23,2
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-03,46
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-06,30
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-09,32
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-16,21
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-19,36
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-04,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-07,59
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-14,29
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-17,23
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-20,14
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-23,8
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-30,9
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-05,2
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-12,6
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-18,2
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-21,3
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-28,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-03-03,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-03-06,3
a: 6 mesecev - 17 let,46233009,Gripa,2025-03-25,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-05-09,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-14,7
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-17,8
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-20,75
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-27,74
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-30,93
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-05,158
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-12,162
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-15,8
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-18,100
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-21,81
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-25,68
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-04,6
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-11,38
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-17,42
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-20,32
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-27,41
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-30,29
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-02,29
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-12,2
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-15,69
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-18,6
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-21,38
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-25,3
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-28,54
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-01,38
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-04,35
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-11,27
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-14,44
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-20,29
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-27,16
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-05,18
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-12,27
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-15,13
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-18,7
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-25,6
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-31,4
a: 6 mesecev - 17 let,46233009,Gripa,2024-02-03,1
a: 6 mesecev - 17 let,46233009,Gripa,2024-02-13,6
a: 6 mesecev - 17 let,46233009,Gripa,2024-02-16,3
a: 6 mesecev - 17 let,46233009,Gripa,2024-02-29,1
a: 6 mesecev - 17 let,46233009,Gripa,2024-03-29,1
a: 6 mesecev - 17 let,46233009,Gripa,2024-09-25,2
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-01,5
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-08,17
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-11,36
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-14,34
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-17,52
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-24,59
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-30,51
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-06,58
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-09,3
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-12,68
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-15,54
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-22,45
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-25,51
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-28,61
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-08,1
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-11,34
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-14,2
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-17,27
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-24,18
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-27,7
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-30,6
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-06,34
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-09,62
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-15,28
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-22,8
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-28,14
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-31,8
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-07,6
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-10,7
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-13,4
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-20,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-26,2
a: 6 mesecev - 17 let,46233009,Gripa,2025-03-14,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-09,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-22,78
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-25,3
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-28,107
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-04,131
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-07,125
